image,split,label,source
583.jpg,train,empty,json_fallback
584.jpg,train,empty,json_fallback
585.jpg,test,empty,json_fallback
586.jpg,test,empty,json_fallback
587.jpg,train,empty,json_fallback
588.jpg,train,empty,json_fallback
589.jpg,train,empty,json_fallback
590.jpg,train,empty,json_fallback
591.jpg,train,empty,json_fallback
592.jpg,train,empty,json_fallback
